Code,Company,Price,Change,Volume,Value,Capitalisation
NTLOB,New Talisman Gold Mines Limited,$0.003,$0.000 / 0.00%,0,$0.00,"$51,109"
NWF,NZ Windfarms Limited,$0.275,$0.005 / 1.85%,"214,506","$57,591.04","$79,217,486"
NZA,NZ Automotive Investments Limited,$1.150,$0.000 / 0.00%,193,$221.31,"$52,387,675"
NZB,Smartshares NZ Bond ETF,$3.052,-$0.004 / -0.13%,"122,510","$373,751.74","$318,389,578"
NZC,Smartshares NZ Cash ETF,$2.950,$0.002 / 0.07%,"182,013","$536,665.65","$321,767,450"
BGI,Blackwell Global Holdings Limited,$0.005,$0.000 / 0.00%,"53,192",$266.01,"$2,511,652"
NZG,Smartshares S&P/NZX 50 ETF,$2.838,-$0.003 / -0.11%,"33,090","$94,065.94","$261,946,952"
SMW,SMW Group Limited,$1.000,$0.000 / 0.00%,0,$0.00,"$54,122,884"
NZK,New Zealand King Salmon Investments Limited,$1.450,$0.030 / 2.11%,"22,260","$31,946.31","$201,529,171"
NZL,New Zealand Rural Land Company Limited (NS),$1.100,$0.000 / 0.00%,"123,136","$135,430.93","$86,824,067"
NZM,NZME Limited,$1.000,$0.020 / 2.04%,"111,677","$111,490.11","$197,570,061"
NZO,New Zealand Oil & Gas Limited,$0.415,$0.005 / 1.22%,"4,774","$1,981.56","$68,238,748"
NZR,The New Zealand Refining Company Limited,$0.960,$0.030 / 3.23%,"2,275,396","$2,182,174.40","$300,945,177"
NZX,NZX Limited,$1.830,-$0.010 / -0.54%,"100,862","$183,534.80","$511,647,782"
OCA,Oceania Healthcare Limited,$1.570,$0.000 / 0.00%,"790,999","$1,235,796.65","$1,107,958,199"
OZY,Smartshares Australian Top 20 ETF,$4.372,-$0.007 / -0.16%,"18,869","$82,315.16","$177,093,399"
PCTHA,Precinct Properties New Zealand Limited (NS),$1.210,$0.000 / 0.00%,0,$0.00,"$181,500,000"
PEB,Pacific Edge Limited,$1.420,$0.030 / 2.16%,"507,127","$715,110.63","$1,035,289,197"
PFI,Property for Industry Limited,$3.045,$0.015 / 0.50%,"287,207","$868,321.28","$1,533,092,967"
PLP,Private Land and Property Fund,$1.180,-$0.005 / -0.42%,"5,778","$6,820.83","$85,089,758"
POT,Port of Tauranga Limited,$7.350,-$0.040 / -0.54%,"526,159","$3,800,750.30","$4,999,958,988"
PPH,Pushpay Holdings Limited,$1.770,$0.020 / 1.14%,"858,827","$1,508,247.22","$2,017,017,676"
PHL,Promisia Healthcare Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$21,284,975"
PHL,Promisia Healthcare Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$21,284,975"
QEX,QEX Logistics Limited,$0.285,$0.000 / 0.00%,0,$0.00,"$16,142,586"
RAD,Radius Residential Care Limited,$0.510,-$0.010 / -1.92%,"228,546","$117,629.75","$137,313,975"
RAK,Rakon Limited,$1.060,$0.040 / 3.92%,"425,356","$441,749.75","$242,798,588"
ARB,ArborGen Holdings Limited,$0.305,$0.000 / 0.00%,"79,040","$24,135.89","$152,875,799"
RBD,Restaurant Brands New Zealand Limited,$16.000,$0.000 / 0.00%,"8,949","$143,025.82","$1,996,136,368"
PGW,PGG Wrightson Limited,$3.880,$0.030 / 0.78%,"101,901","$399,353.79","$292,878,242"
MEE,Me Today Limited,$0.082,$0.000 / 0.00%,"216,318","$17,698.86","$57,930,252"
RUA,Rua Bioscience Limited,$0.405,$0.000 / 0.00%,"56,962","$22,977.76","$56,830,171"
RYM,Ryman Healthcare Limited,$15.580,$0.090 / 0.58%,"716,471","$11,101,462.20","$7,790,000,000"
GSH,Good Spirits Hospitality Limited,$0.070,$0.000 / 0.00%,638,$44.66,"$4,041,412"
SAN,Sanford Limited (NS),$5.090,-$0.310 / -5.74%,"146,342","$746,927.38","$475,946,237"
SCL,Scales Corporation Limited,$5.150,$0.000 / 0.00%,"64,061","$328,807.26","$733,333,411"
SCT,Scott Technology Limited,$2.950,$0.000 / 0.00%,"19,557","$57,761.03","$232,064,213"
SCY,Smiths City Group Limited (in receivership),$0.140,$0.000 / 0.00%,0,$0.00,"$7,376,341"
SDL,Solution Dynamics Limited,$3.030,$0.000 / 0.00%,124,$375.72,"$44,358,624"
SEK,Seeka Limited,$5.330,$0.030 / 0.57%,"21,486","$114,493.55","$210,162,827"
SKC,SkyCity Entertainment Group Limited (NS),$3.320,$0.000 / 0.00%,"201,818","$671,498.96","$2,523,881,294"
SKO,Serko Limited,$8.000,$0.000 / 0.00%,"67,502","$539,643.68","$864,298,760"
SKT,Sky Network Television Limited,$0.196,$0.003 / 1.55%,"30,107,653","$5,831,063.98","$342,388,393"
SKL,Skellerup Holdings Limited,$5.500,$0.020 / 0.36%,"170,821","$938,823.92","$1,074,020,101"
SML,Synlait Milk Limited (NS),$3.330,$0.100 / 3.10%,"89,768","$294,160.24","$727,876,931"
PX1,Plexure Group Limited,$0.600,$0.060 / 11.11%,"3,611,542","$2,005,765.67","$104,667,217"
GWC,Goodwood Capital Limited,$0.025,$0.000 / 0.00%,0,$0.00,"$835,245"
SPG,Stride Property Ltd & Stride Investment Management Ltd (NS),$2.680,$0.050 / 1.90%,"1,632,424","$4,361,192.69","$1,268,269,862"
SPN,South Port New Zealand Limited,$9.120,$0.120 / 1.33%,"3,352","$30,568.68","$239,262,270"
SUM,Summerset Group Holdings Limited,$15.400,$0.110 / 0.72%,"172,352","$2,647,505.88","$3,534,321,483"
STU,Steel & Tube Holdings Limited,$1.110,-$0.010 / -0.89%,"440,477","$487,041.83","$184,257,269"
TAH,Third Age Health Services Limited,$2.290,$0.000 / 0.00%,"8,942","$20,306.03","$22,327,500"
SPK,Spark New Zealand Limited,$4.890,$0.000 / 0.00%,"1,118,181","$5,440,875.02","$9,130,241,705"
TNZ,Smartshares NZ Top 10 ETF,$2.185,$0.005 / 0.23%,"49,593","$107,651.88","$170,717,487"
TPW,Trustpower Limited,$7.960,-$0.040 / -0.50%,"17,493","$139,578.70","$2,491,265,080"
TRU,TruScreen Group Limited,$0.064,$0.000 / 0.00%,"451,046","$28,861.65","$23,223,440"
VTL,Vital Limited,$0.670,-$0.020 / -2.90%,"230,323","$157,906.74","$27,725,190"
TGG,T&G Global Limited,$3.000,$0.020 / 0.67%,"11,540","$34,567.12","$367,629,612"
TWF,Smartshares Total World ETF,$3.046,$0.000 / 0.00%,"150,867","$458,647.80","$140,215,163"
TWH,Smartshares Total World (NZD Hedged) ETF,$3.364,$0.010 / 0.30%,"22,954","$77,106.02","$77,169,585"
TWR,Tower Limited,$0.690,$0.000 / 0.00%,"632,524","$436,436.54","$290,936,608"
USA,Smartshares US Equities ESG ETF,$3.048,-$0.011 / -0.36%,"5,302","$16,154.31","$52,857,703"
USF,Smartshares US 500 ETF,$11.763,$0.043 / 0.37%,"38,680","$453,865.96","$431,372,665"
USG,Smartshares US Large Growth ETF,$8.477,$0.003 / 0.04%,"154,877","$1,306,023.39","$185,255,222"
USM,Smartshares US Mid Cap ETF,$6.984,-$0.028 / -0.40%,"12,405","$86,638.77","$102,264,931"
USS,Smartshares US Small Cap ETF,$6.312,$0.004 / 0.06%,"11,526","$73,282.22","$89,148,864"
USV,Smartshares US Large Value ETF,$4.024,$0.012 / 0.30%,"18,909","$75,970.35","$74,195,220"
VCT,Vector Limited (NS),$4.230,$0.020 / 0.48%,"114,218","$479,311.64","$4,230,000,000"
VGL,Vista Group International Limited,$2.420,-$0.030 / -1.22%,"77,952","$188,759.18","$553,731,845"
AFC,AFC Group Holdings Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$3,664,216"
TRA,Turners Automotive Group Limited,$4.460,-$0.020 / -0.45%,"57,531","$257,098.98","$383,868,846"
WDT,Wellington Drive Technologies Limited,$0.125,$0.003 / 2.46%,"502,955","$62,802.77","$53,989,328"
WHS,The Warehouse Group Limited,$3.780,$0.000 / 0.00%,"72,978","$275,300.14","$1,311,066,994"
ZEL,Z Energy Limited,$3.540,$0.010 / 0.28%,"1,018,515","$3,595,493.44","$1,841,284,870"
